dow30,naftrac,nasdaq,russell2000,sp500
-0.7207843258,0.2796689081,-0.3697033919,-0.1257390173,-0.7606162859
-1.932340717,-1.2436809015,-2.3523840779,-2.2526180222,-1.7416671755
-0.3134153484,-0.8820300474,-0.3170682685,-0.1749234139,-0.3222715021
0.1758916077,1.0061302061,0.5009403902,0.6154786864,0.230746781
1.6750697662,0.7587802976,1.0605663095,1.2962636081,1.3805906687
-1.3402857848,-0.5890438266,-0.9686040978,-0.411002925,-1.0701385011
-0.5578726665,1.2602975539,-0.4641076682,-0.1122658629,-0.5072926691
1.1462538954,1.8223076146,0.682590407,0.6363147252,1.1388276874
-0.0849825397,0.3766357007,-0.1950685407,-0.5717885489,-0.2854977559
0.125820204,-0.0611958759,0.7472720159,0.6747374175,0.2673311866
0.3141144925,-0.11260793,0.4103375875,-0.3022226099,0.4741508366
0.5884961633,-0.1898338556,0.3628409668,0.3938356019,0.5610040669
-0.5670974666,0.2734609657,-0.2053022008,0.0293350793,-0.5790593058
0.3347766031,0.0158747883,-0.2683872353,-0.0500581963,0.1446603451
0.4379060114,0.6322819592,0.6026810366,0.7167138882,0.5546339149
-0.0935541624,0.5265648582,-0.1176837111,-0.2141061895,-0.1359470409
-1.8384491118,-1.1793906965,-1.5278448415,-1.5982346991,-1.363244908
1.3064049326,0.1699255753,1.1806990716,0.9563908925,1.0308497992
-0.598131475,0.580047791,0.3238516727,-0.0897701092,-0.217763941
0.5227114346,-0.11192966,0.3527676199,0.0675912556,0.5475592748
0.0813862035,0.6030503019,0.3475968613,0.4216425492,0.2294830225
0.0878552799,0.9809313999,0.6363972579,-0.3301548824,0.2172580731
-0.3200726973,-1.0173491726,-0.6618699776,-1.1414041348,-0.527793734
0.4138434273,-0.3909922051,-0.1477683274,0.4716516332,0.2774334524
-0.5272062138,-0.902071451,-0.6653042902,-0.9657804459,-0.4810711193
-1.3027558531,-1.0117972894,-1.6437717311,-2.0700161836,-1.2254770388
1.4433629902,1.8301490865,1.4281645612,0.984419218,1.5739263045
-0.961691082,-0.4179737317,-1.5565074433,-1.3996845227,-1.4245513343
-0.6070767304,-0.5730188726,-0.4420589422,0.2750534182,-0.5644293776
0.4833010776,-0.2413496855,0.4558986588,0.4481283457,0.3944888417
1.6766974966,0.9181006732,1.083445352,0.6938780617,1.522893313
-0.5972433408,0.1947429848,-0.2487239485,0.0369539614,-0.6382848717
-0.2862219188,-0.6224523855,-0.3929524078,-0.239093976,-0.3889378205
-0.0994362961,0.2724139766,0.0521670436,-0.0974006537,-0.0807754023
1.1805200169,0.6045616847,1.2914649013,0.9544044663,1.2107771422
0.0792159749,0.1175026257,-0.1033498131,-0.1203669755,0.044295103
0.1171231521,0.1682160216,0.5245933187,1.0015232453,0.3099099116
0.0357583158,-0.2637874428,-0.2158641152,-0.172234909,-0.1202085638
